SiteName,SED_SOURCE_A,SED_SOURCE_B,SED_SOURCE_F,SED_SOURCE_O,SED_SOURCE_X
100 Foot Rock,True,False,False,False,False
7 Seas Dock,False,True,False,False,False
Admiralty Beach,True,False,False,False,False
"Agate Beach, Lopez Is",False,True,False,False,False
Alki - Cove 1,False,True,False,False,False
Alki - Cove 2,False,True,False,False,False
Alki - Cove 3,False,True,False,False,False
Alki - Pipeline,True,False,False,False,False
Alki Beach,True,False,False,False,False
Andy's Marine Park,False,False,True,False,False
Arsenic Wall,False,True,False,False,False
Bachelor Rock,False,True,False,False,False
Bayrich Bay,True,False,False,False,False
Bell Island East,False,False,False,False,True
Bell Island West,False,False,False,False,True
Beverly Beach,True,False,False,False,False
Blake Island South,False,True,False,False,False
Blakely Harbor Reef,True,False,False,False,False
"Blakely Harbor, North",False,False,False,True,False
Boeing Creek Reef,False,False,True,False,False
Broken Point Cove Shaw,False,False,True,False,False
Broken Point East,False,True,False,False,False
Broken Point West,False,True,False,False,False
Burrows Lighthouse,False,False,False,False,True
Camano Head,False,True,False,False,False
Camano Island State Park,False,True,False,False,False
Camp Casey,False,True,False,False,False
Canoe Pass,False,False,False,False,True
Cattle Point,False,False,False,False,True
Cherry Point,True,False,False,False,False
Clallam Bay West,False,True,False,False,False
Cliff Island,False,True,False,False,False
Dalco Shallows,False,True,False,False,False
Dalco Wall,True,False,False,False,False
Dallas Banks,False,True,False,False,False
Dash Point State Park,False,False,True,False,False
Day Island Kelp,True,False,False,False,False
Day Island Wall,True,False,False,False,False
Day Island Wall - North,True,False,False,False,False
Day Island Wall - South,True,False,False,False,False
Deadman Island,False,False,False,False,True
Deadmans Bay,False,False,False,False,True
Deception Pass,False,False,False,False,True
Derelict Conveyor,True,False,False,False,False
Devils Head,True,False,False,False,False
Dickman Mill,True,False,False,False,False
Driftwood Park,True,False,False,False,False
Dune Peninsula Breakwater,False,True,False,False,False
Eagle Cove,False,False,False,False,True
Eagle Point,False,False,False,False,True
Ebeys Landing,True,False,False,False,False
Edgewater Beach Park,True,False,False,False,False
Ediz Hook Log Pile,True,False,False,False,False
Ediz Hook Rock Pile,True,False,False,False,False
Ediz Hook RockPile,True,False,False,False,False
Edmonds Pipeline,False,False,False,False,True
Edmonds Underwater Park,True,False,False,False,False
Edmonds Underwater Park Fishing Pier,False,False,False,False,True
Edmonds Underwater Park Kelp,True,False,False,False,False
Edmonds Underwater Park Pipeline,False,False,False,False,True
Edmonds Underwater Park Shell Creek,True,False,False,False,False
Elephant Wall,False,True,False,False,False
Elliot Bay Marina,False,False,False,False,True
Everett Pipeline,True,False,False,False,False
Flagpole Point,True,False,False,False,False
Flat Top Island,False,False,False,False,True
Fort Worden,True,False,False,False,False
Foulweather Bluff,False,True,False,False,False
Fox Island Bridge,True,False,False,False,False
Fox Island East Wall,True,False,False,False,False
Fox Island West Wall,True,False,False,False,False
Freeland Park,True,False,False,False,False
Freshwater Bay,False,True,False,False,False
Friday Harbor Reef,False,False,False,False,True
Fulton Creek,True,False,False,False,False
Glen Acres,True,False,False,False,False
Glen Ayr Ravine,True,False,False,False,False
Goby Garden,False,True,False,False,False
Grain Terminal,False,False,False,False,True
Green Point,False,True,False,False,False
"Green Point, Spieden Island",False,False,False,False,True
Hat Island,True,False,False,False,False
Hat Island Ledge,True,False,False,False,False
Hat Island Marina,True,False,False,False,False
Hat Island Sponge Garden,False,True,False,False,False
Holmes Harbor,True,False,False,False,False
Intake Tower/Between Owens and Boathouse,True,False,False,False,False
"Jack Block, Seattle, Washington",False,False,False,False,True
Jack Hyde Park,True,False,False,False,False
Jefferson Head,False,True,False,False,False
Jones Island,False,True,False,False,False
Jorsted Creek,False,False,True,False,False
KVI Tower,True,False,False,False,False
Kat's Corner,True,False,False,False,False
Kellet's Bluff,False,False,False,False,True
Ketron Island,False,True,False,False,False
Keystone Jetty,True,False,False,False,False
Keystone Jetty - Pilings,True,False,False,False,False
Keystone Jetty Preserve,True,False,False,False,False
Keystone Preserve,True,False,False,False,False
Kopachuck State Park,False,True,False,False,False
Langley Marina,True,False,False,False,False
Langley Tire Reef,True,False,False,False,False
Larry's Lair,False,False,False,False,True
Lawrence Point,False,True,False,False,False
Les Davis Marine Park,True,False,False,False,False
Les Davis Marine Park Pier,True,False,False,False,False
Les Davis Marine Park Pipeline,True,False,False,False,False
Lime Kiln,False,False,False,False,True
Lincoln Park,True,False,False,False,False
Lobster Shop Wall,True,False,False,False,False
Long Island Wall,False,False,False,False,True
Lowell Point,False,True,False,False,False
Lower Elwha,False,True,False,False,False
Lowman Beach Park,True,False,False,False,False
Magnolia,False,True,False,False,False
Marina Beach,True,False,False,False,False
Maritime Pier,False,True,False,False,False
Maury Island Barges,False,True,False,False,False
McCracken Point,True,False,False,False,False
McCurdy Point,False,True,False,False,False
Metridium Wall,True,False,False,False,False
Mike's Beach Resort,True,False,False,False,False
Misery Point,False,True,False,False,False
Mukilteo Edgewater Park,False,False,True,False,False
Mukilteo Fuel Pier,True,False,False,False,False
Mukilteo Lighthouse,True,False,False,False,False
Mukilteo T-Dock,True,False,False,False,False
Narrows Bridge (Tacoma Side),True,False,False,False,False
Narrows Bridge (Tacoma side),True,False,False,False,False
Norrander's,True,False,False,False,False
North Beach,False,True,False,False,False
North Wall Deception Pass,False,True,False,False,False
North Wall Point Defiance,True,False,False,False,False
Northwest Island,False,True,False,False,False
O'Neal Island,False,False,False,False,True
Octopus Hole,True,False,False,False,False
Olalla Boat Launch,False,False,True,False,False
Old Tacoma Outboard Association,False,True,False,False,False
Old Town Dock,True,False,False,False,False
Orcas Island Eelgrass,False,True,False,False,False
Owen Beach,True,False,False,False,False
Partridge Point,True,False,False,False,False
Picnic Cove,False,True,False,False,False
Pile Point,False,False,False,False,True
Pirate Cove,False,False,False,False,True
Point Caution,False,False,False,False,True
Point Dalco,False,True,False,False,False
Point Defiance Boathouse,True,False,False,False,False
Point Defiance North Wall,False,True,False,False,False
Point Defiance Wall,False,True,False,False,False
Point Defiance West Kelp Beds,False,True,False,False,False
Point Defiance West Wall,False,True,False,False,False
Point George,False,False,False,False,True
Point Hudson,True,False,False,False,False
Point Ruston,False,True,False,False,False
Point Ruston Ferry,False,True,False,False,False
Point Vashon,True,False,False,False,False
Point Whitehorn,False,True,False,False,False
Point Whitney Shellfish Lab,True,False,False,False,False
Possession Point Ferry,False,True,False,False,False
Possession Point Fingers,False,True,False,False,False
Pulali Point,False,True,False,False,False
Pulali Point West Wall,False,True,False,False,False
Redondo Beach,False,False,True,False,False
Reef Point,False,True,False,False,False
Reuben Tarte,False,False,False,False,True
Richmond Beach,True,False,False,False,False
Rock 305,False,True,False,False,False
Rosario Beach Urchin Rocks,False,False,False,True,False
Rosario Beach Urchin Rocks North,False,True,False,False,False
Rosario Head,False,False,False,False,True
Rosario Wall,False,False,False,False,True
Rosie's Ravine,False,True,False,False,False
Ruston - Katie Downs,True,False,False,False,False
Salmon Beach,True,False,False,False,False
Salt Creek,False,True,False,False,False
Saltar's Point,True,False,False,False,False
Saltwater State Park,False,False,True,False,False
Sares Head,False,True,False,False,False
Scenic Beach State Park,False,True,False,False,False
Seabeck Bay,False,True,False,False,False
Seattle Waterfront,False,False,False,False,True
Sekiu,True,False,False,False,False
Shirttail Reef,False,True,False,False,False
Sirens of Spring,False,False,False,False,True
Skyline,False,False,False,False,True
Smallpox Bay,False,False,False,False,True
South Hat Island,True,False,False,False,False
Speiden Southwest,False,True,False,False,False
Squaxin Island,False,True,False,False,False
Steilacoom Marina,True,False,False,False,False
Strawberry Falls,False,False,False,False,True
Sucia Island - Lawson's Bluff,False,False,False,False,True
Sucia Island - Shallow Bay,False,True,False,False,False
Sund Rock,True,False,False,False,False
Sund Rock North,True,False,False,False,False
Sund Rock South,False,True,False,False,False
Sunnyside Beach Park,True,False,False,False,False
Sunrise Beach State Park,True,False,False,False,False
Tacoma Narrows,True,False,False,False,False
Tacoma Narrows - Point Evans,True,False,False,False,False
Tacoma Old Town Pier,True,False,False,False,False
Teahwhit Head,False,True,False,False,False
The Pinnacle,True,False,False,False,False
Thea's Park - Foss Waterway,False,False,False,False,True
Three Tree Point,True,False,False,False,False
Three Tree Point North,True,False,False,False,False
Tire Reef N Saltwater State Park,False,True,False,False,False
Titlow Beach Park,True,False,False,False,False
Tongue Point,False,True,False,False,False
Triton Cove,True,False,False,False,False
Triton Head,True,False,False,False,False
Urchin Rocks South,False,False,False,False,True
Watmaugh Bay,False,False,False,False,True
Whale Rocks,False,False,False,False,True
Widmer Reef,False,True,False,False,False
Wing Point,True,False,False,False,False
Wreck of the Ranger,True,False,False,False,False
Yellow House,True,False,False,False,False
Young Island West,False,False,False,False,True
Z's Reef,True,False,False,False,False
